source,author,title,description,url,publishedAt,content,clean_text,sentiment
The Times of India,etimes.in,"Bigg Boss 19: Abhishek Bajaj shares his FIRST reaction to ex-wife Akanksha Jindal’s claims; says, “She’s a social parasite, has no values and integrity”","Bigg Boss 19's Weekend Ka Vaar saw host Salman Khan confront Abhishek Bajaj about discussing his ex-wife. Khan urged addressing past issues, especially when they surface online. Ashnoor Kaur also bravely shared her body image struggles, calling out Tanya for …",https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-19-abhishek-bajaj-shares-his-first-reaction-to-ex-wife-akanksha-jindals-claims-says-shes-a-social-parasite-has-no-values-and-integrity/articleshow/125029484.cms,2025-11-02T05:47:03Z,"<ul><li>News</li>
<li>Bigg Boss 19: Abhishek Bajaj shares his FIRST reaction to ex-wife Akanksha Jindals claims; says, Shes a social parasite, has no values and integrity</li></ul>
Bigg Boss 19's W… [+2162 chars]",bigg boss  abhishek bajaj shares his first reaction to exwife akanksha jindals claims says shes a social parasite has no values and integrity,negative
The Times of India,ET Online,"Over 1,00,000 job cuts rattle tech industry in 2025: Amazon, Meta, Google, Intel lay off thousands of employees. Check full list of companies","Tech layoffs 2025: Major technology companies worldwide are cutting costs, resulting in massive job losses. Firms like Amazon, Intel, and TCS are reducing their workforces significantly. These layoffs are driven by evolving technology, particularly AI, and sl…",https://economictimes.indiatimes.com/news/international/global-trends/us-news-over-100000-job-cuts-rattle-tech-industry-in-2025-amazon-meta-google-intel-lay-off-thousands-of-employees-check-full-list-of-companies/articleshow/125029264.cms,2025-11-02T05:28:06Z,The world's biggest tech companies across the globe are in a cost-cutting mode. A wave of layoffs has rattled the tech industry leaving tens of thousands of people without jobs. According to Layoffs.… [+11847 chars],over  job cuts rattle tech industry in  amazon meta google intel lay off thousands of employees check full list of companies,negative
The Indian Express,Education Desk,"Mahindra, P&G, & Amazon lead hiring in IIM Ahmedabad’s second Summer placement cluster","Over 60 distinct roles were offered by a large pool of recruiters. Leading the Conglomerates cohort was Mahindra and Mahindra, followed by TATA Administrative Services and Aditya Birla Group.",https://indianexpress.com/article/education/mahindra-pg-amazon-lead-hiring-in-iim-ahmedabads-second-summer-placement-cluster-10341168/,2025-11-02T04:46:02Z,"The Indian Institute of Management Ahmedabad (IIMA) conducted the second cluster of its Summer placement process for the Post Graduate Programme (PGP) Class of 2027. Held in a hybrid format, the even… [+2179 chars]",mahindra pg  amazon lead hiring in iim ahmedabads second summer placement cluster,neutral
The Times of India,Lijee Philip,Why India's gyms are struggling to stay in shape,"Indian gyms are struggling as membership renewals drop significantly. Rising operational costs, overcrowding, and the convenience of home workouts are impacting business. Many individuals now prefer personal trainers who offer flexible sessions. This shift pr…",https://economictimes.indiatimes.com/news/india/why-indias-gyms-are-struggling-to-stay-in-shape/articleshow/125028277.cms,2025-11-02T03:29:13Z,"You have two options. The first is to get up, book a class in a gym, take your car out, navigate Bengalurus notorious traffic, search desperately for parking in Indiranagar (good luck with that), the… [+10322 chars]",why indias gyms are struggling to stay in shape,negative
The Times of India,TOI Education,"EAD extensions ended, H-1B fees hiked, citizenship test toughened: Is the US turning hostile to Indian talent?","The US has implemented three major immigration changes affecting Indian professionals and Green Card holders. Automatic EAD extensions have ended, H-1B visa fees have risen to $100,000 for new petitions, and the civics test for naturalisation has become more …",https://timesofindia.indiatimes.com/education/news/ead-extensions-ended-h-1b-fees-hiked-citizenship-test-toughened-is-the-us-turning-hostile-to-indian-talent/articleshow/125027906.cms,2025-11-02T02:02:31Z,"<ul><li>News</li>
<li>EAD extensions ended, H-1B fees hiked, citizenship test toughened: Is the US turning hostile to Indian talent?</li></ul>
The US has implemented three major immigration changes… [+2504 chars]",ead extensions ended hb fees hiked citizenship test toughened is the us turning hostile to indian talent,negative
Wnd.com,Amanda Bartolotta,"‘Citizens first’: Florida launched first strike against visa abuse, but H-1B is only half the battle",'The F-1 student and OPT work programs are the universities' contribution to the same problem and they've quietly become the largest foreign-labor pipeline in the country',https://www.wnd.com/2025/11/citizens-first-florida-launched-first-strike-against-visa/,2025-11-01T16:24:55Z,"In a bold and unprecedented move, Florida has become the first state in the nation to take formal action against the use of foreign worker visas in its public university system. Gov. Ron DeSantis’s n… [+9539 chars]",citizens first florida launched first strike against visa abuse but hb is only half the battle,neutral
The Times of India,ET Online,"US shutdown drags on, cracks show in fragile economy","The US federal government is nearing its longest shutdown ever, impacting a fragile economy with economists warning of significant GDP losses.  The impasse threatens job creation, small business contractors, and vital health and aid programs, exacerbating exi…",https://economictimes.indiatimes.com/news/international/global-trends/u-s-shutdown-drags-on-cracks-show-in-fragile-economy/articleshow/125014803.cms,2025-11-01T10:56:38Z,"The United States is inching toward the longest federal government shutdown in its history, having remained closed for an entire month with no resolution in sight, The Times of India reported.Economi… [+3674 chars]",us shutdown drags on cracks show in fragile economy,negative
Seoservicesmadurai.com,Christopher,Professional Email Marketing Services | GegoSoft SEO Services,Indian businesses achieve higher sales and stronger customer relationships with GegoSoft’s tailored email marketing campaigns. Discover the power of personalized automation.,https://seoservicesmadurai.com/professional-email-marketing-services/,2025-11-01T04:30:11Z,"Many Indian businesses dismiss email marketing as outdated, believing social media and paid ads are the only channels worth pursuing. This misconception costs them one of the highest-ROI marketing ch… [+11685 chars]",professional email marketing services  gegosoft seo services,neutral
The Times of India,ETtech,The Economic Times Startup Awards 2025 special,Happy Saturday! The Economic Times Startup Awards (ETSA) 2025 ceremony brought together startup leaders and policymakers in Bengaluru on Friday evening for a friendly and insightful dialogue.,https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/the-economic-times-startup-awards-2025-special/articleshow/125008363.cms,2025-11-01T02:10:11Z,Happy Saturday! The Economic Times Startup Awards (ETSA) 2025 ceremony brought together startup leaders and policymakers in Bengaluru on Friday evening for a friendly and insightful dialogue.Eminent … [+5969 chars],the economic times startup awards  special,positive
The Times of India,Swathi Moorthy,OpenAI ramps up hiring to focus on Indian startups,"Global AI giants OpenAI and Anthropic are aggressively expanding their presence in India, ramping up hiring and focusing on startups. With India being a significant market for data consumption and creation, these companies are keen to tailor their advanced AI…",https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-ramps-up-hiring-to-focus-on-indian-startups/articleshow/125003762.cms,2025-11-01T00:30:00Z,"As ChatGPT-maker OpenAI gets bullish on the Indian market, it is ramping up hiring in the country. The firm is hiring people in the go-to-market and solutions architect teams, which help companies de… [+2471 chars]",openai ramps up hiring to focus on indian startups,neutral
Forbes,"Maggie McGrath, Forbes Staff, 
 Maggie McGrath, Forbes Staff
 https://www.forbes.com/sites/maggiemcgrath/",Meet The Indian Heiress Taking On Ikea. Plus: Why You Need To “Kill” Your Company,"Welcome to this week’s ForbesWomen newsletter, which every Thursday brings news about the world’s top female entrepreneurs, leaders and investors straight to your inbox.",https://www.forbes.com/sites/maggiemcgrath/2025/10/31/meet-the-indian-heiress-taking-on-ikea-plus-why-you-need-to-kill-your-company/,2025-10-31T19:20:07Z,"This is this weeks ForbesWomen newsletter, which every Thursday brings news about the worlds top female entrepreneurs, leaders and investors straight to your inbox. Click here to get on the newslette… [+5998 chars]",meet the indian heiress taking on ikea plus why you need to kill your company,negative
The Times of India,ET Online,Mumbai-based CEO calls for ‘#OpenToMarry’ badge on LinkedIn: Netizens quip ‘99 missed calls from Anupam Mittal’; Shaadi.com reacts,"Mumbai-based advertising CEO Shubham Gune has gone viral after sharing a humorous LinkedIn post proposing an “#OpenToMarry” badge instead of the usual “Open to Work.” Frustrated by failed dating and matrimony apps, Gune suggested using LinkedIn to find love. …",https://economictimes.indiatimes.com/magazines/panache/mumbai-based-ceo-calls-for-opentomarry-badge-on-linkedin-netizens-quip-99-missed-calls-from-anupam-mittal-shaadi-com-reacts/articleshow/124998409.cms,2025-10-31T15:29:09Z,"In an era where job searches and networking dominate professional spaces, a Mumbai-based entrepreneur has taken LinkedIns Open to Work badge a step further quite literally by proposing a new one: #Op… [+2197 chars]",mumbaibased ceo calls for opentomarry badge on linkedin netizens quip  missed calls from anupam mittal shaadicom reacts,neutral
The Times of India,etimes.in,Anushka Merchande and Abhishek Sharma talk about celebrating Halloween,"As Halloween approaches, actors Anushka Merchande and Abhishek Sharma share their festive plans. Merchande, who plays Anika, looks forward to a themed party and creative costume, while Sharma, as Devansh, emphasizes the festival's fun and togetherness. Both a…",https://timesofindia.indiatimes.com/tv/news/hindi/anushka-merchande-and-abhishek-sharma-talk-about-celebrating-halloween/articleshow/124995643.cms,2025-10-31T13:33:32Z,"<ul><li>News</li>
<li>Anushka Merchande and Abhishek Sharma talk about celebrating Halloween</li></ul>
As Halloween approaches, actors Anushka Merchande and Abhishek Sharma share their festive plan… [+2146 chars]",anushka merchande and abhishek sharma talk about celebrating halloween,neutral
The Times of India,TOI Astrology,"Weekly Tarot Cards Predictions, November 3-9, 2025: The Cards Warn of Sudden Change Ahead For These Zodiac Signs","This week's tarot horoscopes offer guidance for love, work, and self-growth. Each sign receives a card and advice to navigate challenges with focus, intuition, and peace. Embrace cosmic wisdom to strengthen your path and make choices for a brighter future.",https://timesofindia.indiatimes.com/astrology/numerology-tarot/weekly-tarot-cards-predictions-november-3-9-2025-the-cards-warn-of-sudden-change-ahead-for-these-zodiac-signs/articleshow/124995802.cms,2025-10-31T13:16:07Z,"This week's tarot horoscopes offer guidance for love, work, and self-growth. Each sign receives a card and advice to navigate challenges with focus, intuition, and peace. Embrace cosmic wisdom to str… [+1897 chars]",weekly tarot cards predictions november   the cards warn of sudden change ahead for these zodiac signs,neutral
Tenable.com,Juan Perez,"Cybersecurity Snapshot: Top Guidance for Improving AI Risk Management, Governance and Readiness","Many organizations are playing catch-up in key AI security policy areas, such as usage governance, risk oversight, data protection, and staff training. In this Cybersecurity Snapshot special edition, we round up recent guidance on preparing for, managing and …",https://www.tenable.com/blog/cybersecurity-snapshot-ai-governance-ai-risk-management-ai-employee-training-ai-policy-ai-cyberrisk-10-31-2025,2025-10-31T13:00:00Z,"Many organizations are playing catch-up in key AI security policy areas, such as usage governance, risk oversight, data protection, and staff training. In this Cybersecurity Snapshot special edition,… [+11081 chars]",cybersecurity snapshot top guidance for improving ai risk management governance and readiness,neutral
The Times of India,Global Sports Desk,NHL Trade Rumors: New Jersey Devils could move goaltender Nico Daws amid roster pressure,"NHL trade rumors are swirling around New Jersey Devils goaltender Nico Daws after his impressive form raised questions about roster depth. With Jacob Markstrom nearing a return and Jake Allen already on the roster, Daws’ waiver status could create pressure fo…",https://timesofindia.indiatimes.com/sports/nhl/news/nhl-trade-rumors-new-jersey-devils-could-move-goaltender-nico-daws-amid-roster-pressure/articleshow/124995260.cms,2025-10-31T12:59:20Z,"<ul><li>News</li>
<li>NHL Trade Rumors: New Jersey Devils could move goaltender Nico Daws amid roster pressure</li></ul>
NHL trade rumors are swirling around New Jersey Devils goaltender Nico Daws … [+3769 chars]",nhl trade rumors new jersey devils could move goaltender nico daws amid roster pressure,neutral
The Times of India,Hrushikesh Mohanty,Pitabash murder accused shifted to jail in Kandhamal district,"Shiva Shankar Das, former Berhampur mayor and an accused in the murder of BJP leader Pitabash Panda, was transferred from Berhampur to Phulbani jail. This move was prompted by a court-accepted plea from jail authorities citing a life risk threat due to rivals…",https://timesofindia.indiatimes.com/city/bhubaneswar/pitabash-murder-accused-shifted-to-jail-in-kandhamal-district/articleshow/124995337.cms,2025-10-31T12:58:18Z,"<ul><li>News</li>
<li>Pitabash murder accused shifted to jail in Kandhamal district</li></ul>
Shiva Shankar Das, former Berhampur mayor and an accused in the murder of BJP leader Pitabash Panda, wa… [+2109 chars]",pitabash murder accused shifted to jail in kandhamal district,negative
The Times of India,Nauzer K Bharucha,Mumbai: WZOTF cancels sale of Sanjan property meant for Parsi-Irani community after anonymous donor’s support,Mumbai: An anonymous Parsi donor from overseas has stemmed the controversial sale of a 2.5 acre sanatorium property in Sanjan meant for the Parsi-Iran.,https://timesofindia.indiatimes.com/city/mumbai/mumbai-wzotf-cancels-sale-of-sanjan-property-meant-for-parsi-irani-community-after-anonymous-donors-support/articleshow/124995314.cms,2025-10-31T12:57:25Z,"<ul><li>News</li>
<li>Mumbai: WZOTF cancels sale of Sanjan property meant for Parsi-Irani community after anonymous donors support</li></ul>
Follow Us On Social Media
Kolkata Buzzes with Flavours … [+1860 chars]",mumbai wzotf cancels sale of sanjan property meant for parsiirani community after anonymous donors support,neutral
The Times of India,Partha Behera,Two students reportedly drown in abandoned ‘Blue Water’ quarry near Raipur,"Two Class 10 students, Jayesh Sahu and Mridul Banjaria, drowned in an abandoned quarry near Mana, Raipur, on Friday. The boys, who were hostel residents, reportedly ignored villagers' warnings and entered the deep waters to bathe. A five-hour search by the SD…",https://timesofindia.indiatimes.com/city/raipur/two-students-reportedly-drown-in-abandoned-blue-water-quarry-near-raipur/articleshow/124995271.cms,2025-10-31T12:55:41Z,"<ul><li>News</li>
<li>Two students reportedly drown in abandoned Blue Water quarry near Raipur</li></ul>
Two Class 10 students, Jayesh Sahu and Mridul Banjaria, drowned in an abandoned quarry near … [+2119 chars]",two students reportedly drown in abandoned blue water quarry near raipur,negative
The Times of India,TNN,Jaya Ahsan keeps it cool in a floral coord set,"Jaya Ahsan recently treated fans to a style moment, sharing pictures of herself in a breezy floral Indian coordinated set. The kurti paired with match.",https://timesofindia.indiatimes.com/entertainment/events/jaya-ahsan-keeps-it-cool-in-a-floral-coord-set/articleshow/124995215.cms,2025-10-31T12:54:50Z,"<ul><li>News</li>
<li>Jaya Ahsan keeps it cool in a floral coord set</li></ul>
Digital learning Vs. screen time: Finding the right balance for kidsKareena Kapoor &amp; Mithali Raj Lead Trophy Walko… [+3346 chars]",jaya ahsan keeps it cool in a floral coord set,positive
The Times of India,Torna Chakraborty,Kolkata Buzzes with Flavours Fashion and Culture at the International Trade Fair,Kolkata is currently buzzing with excitement as the International Trade Fair in New Town brings the world closer to shoppers and enthusiasts alike. Th.,https://timesofindia.indiatimes.com/entertainment/events/kolkata-buzzes-with-flavors-fashion-and-culture-at-the-international-trade-fair/articleshow/124994951.cms,2025-10-31T12:45:29Z,"<ul><li>News</li>
<li>Kolkata Buzzes with Flavours Fashion and Culture at the International Trade Fair</li></ul>
Digital learning Vs. screen time: Finding the right balance for kidsKareena Kapoor &… [+3380 chars]",kolkata buzzes with flavours fashion and culture at the international trade fair,positive
The Times of India,Spotlight Wire,"upGrad turns EBITDA positive in FY25, AI-led expansion fuels global growth","Skilling major upGrad achieved EBITDA profitability in FY25, reporting INR 15 crore profit driven by steady revenue growth and operating efficiencies. The company's gross revenue reached INR 1,943 crore, with a significant reduction in losses and improved PAT…",https://economictimes.indiatimes.com/news/international/business/upgrad-turns-ebitda-positive-in-fy25-ai-led-expansion-fuels-global-growth/articleshow/124994466.cms,2025-10-31T12:24:05Z,"Skilling major upGrad, has reported EBITDA profitability for FY25, driven by steady revenue growth, operating efficiency, and disciplined global expansion. The company reported a gross revenue of INR… [+3582 chars]",upgrad turns ebitda positive in fy ailed expansion fuels global growth,positive
Fortune,Sharon Goldman,Meta’s $27 billion bet turns AI compute into Wall Street’s hottest new investment,"As the AI data center build out charges ahead at full speed, a new asset class is emerging.",https://fortune.com/2025/10/31/metas-27-billion-bet-turns-ai-compute-into-wall-streets-hottest-new-investment/,2025-10-31T11:45:48Z,Are data centers the new REIT? Not quite but Metas new megadata center in northeast Louisiana marks what one expert calls a decisive shift in how hyperscalers finance the AI era: by turning data cent… [+5947 chars],metas  billion bet turns ai compute into wall streets hottest new investment,neutral
The Times of India,ET Online,"SEBI Grade A exam 2025: Check how to apply, important dates, eligibility and selection process","The Securities and Exchange Board of India is hiring Officer Grade A Assistant Managers. The selection involves an online screening exam, a main online exam, and an interview. Successful candidates will receive a substantial pay scale and various benefits. Ap…",https://economictimes.indiatimes.com/news/new-updates/sebi-grade-a-exam-2025-check-how-to-apply-important-dates-eligibility-and-selection-process/articleshow/124991774.cms,2025-10-31T10:32:36Z,"The Securities and Exchange Board of India (SEBI), a statutory body established by an Act of Parliament, has announced recruitment for Officer Grade A (Assistant Manager) positions. The board aims to… [+3213 chars]",sebi grade a exam  check how to apply important dates eligibility and selection process,neutral
The Times of India,ET Online,"SEBI Grade A exam 2025: Check how to apply, important dates, eligibility and selection process","The Securities and Exchange Board of India is hiring Officer Grade A Assistant Managers. The selection involves an online screening exam, a main online exam, and an interview. Successful candidates will receive a substantial pay scale and various benefits. Ap…",https://economictimes.indiatimes.com/news/new-updates/sebi-grade-a-exam-2025-check-how-to-apply-important-dates-eligibility-and-selection-process/articleshow/124991130.cms,2025-10-31T10:32:36Z,"The Securities and Exchange Board of India (SEBI), a statutory body established by an Act of Parliament, has announced recruitment for Officer Grade A (Assistant Manager) positions. The board aims to… [+3213 chars]",sebi grade a exam  check how to apply important dates eligibility and selection process,neutral
Livemint,Devina Sengupta,Mint Explainer | How B-school students can land a job by simply using the right AI prompts,"India Inc. is changing recruitment methods, permitting B-school students to use AI tools in interviews. This shift aims to enhance candidate evaluations while maintaining originality and human judgment, as companies adapt to AI's growing presence in the workp…",https://www.livemint.com/companies/bschool-students-jobs-ai-prompts-campus-recruitments-iim-ai-tools-11761899983872.html,2025-10-31T10:31:36Z,"India Inc. is recruiting differently from B-school campuses this year. Companies are allowing students to use artificial intelligence (AI) tools in their interview tests and case study analyses.
Cea… [+3607 chars]",mint explainer  how bschool students can land a job by simply using the right ai prompts,neutral
The Times of India,ETtech,Amazon layoffs not driven by AI but by culture: CEO Andy Jassy,"Beth Galetti, Amazon’s senior vice president of people experience and technology, said in a blog post that the move was part of “reducing bureaucracy, removing layers, and shifting resources,” echoing Jassy’s earlier comments.",https://economictimes.indiatimes.com/tech/technology/amazon-layoffs-not-driven-by-ai-but-by-culture-ceo-andy-jassy/articleshow/124990708.cms,2025-10-31T09:48:32Z,"Amazon CEO Andy Jassy claims that the companys latest layoffs, affecting 14,000 employees, were not about cutting costs or driven by AI.The announcement that we made a few days ago was not really fin… [+1249 chars]",amazon layoffs not driven by ai but by culture ceo andy jassy,neutral
